Title,Price,Link
A Light in the Attic,Â£51.77,http://books.toscrape.com/catalogue/page-1.htmla-light-in-the-attic_1000/index.html
Tipping the Velvet,Â£53.74,http://books.toscrape.com/catalogue/page-1.htmltipping-the-velvet_999/index.html
Soumission,Â£50.10,http://books.toscrape.com/catalogue/page-1.htmlsoumission_998/index.html
Sharp Objects,Â£47.82,http://books.toscrape.com/catalogue/page-1.htmlsharp-objects_997/index.html
Sapiens: A Brief History of Humankind,Â£54.23,http://books.toscrape.com/catalogue/page-1.htmlsapiens-a-brief-history-of-humankind_996/index.html
The Requiem Red,Â£22.65,http://books.toscrape.com/catalogue/page-1.htmlthe-requiem-red_995/index.html
The Dirty Little Secrets of Getting Your Dream Job,Â£33.34,http://books.toscrape.com/catalogue/page-1.htmlthe-dirty-little-secrets-of-getting-your-dream-job_994/index.html
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Â£17.93,http://books.toscrape.com/catalogue/page-1.htmlthe-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Â£22.60,http://books.toscrape.com/catalogue/page-1.htmlthe-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
The Black Maria,Â£52.15,http://books.toscrape.com/catalogue/page-1.htmlthe-black-maria_991/index.html
"Starving Hearts (Triangular Trade Trilogy, #1)",Â£13.99,http://books.toscrape.com/catalogue/page-1.htmlstarving-hearts-triangular-trade-trilogy-1_990/index.html
Shakespeare's Sonnets,Â£20.66,http://books.toscrape.com/catalogue/page-1.htmlshakespeares-sonnets_989/index.html
Set Me Free,Â£17.46,http://books.toscrape.com/catalogue/page-1.htmlset-me-free_988/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Â£52.29,http://books.toscrape.com/catalogue/page-1.htmlscott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
Rip it Up and Start Again,Â£35.02,http://books.toscrape.com/catalogue/page-1.htmlrip-it-up-and-start-again_986/index.html
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Â£57.25,http://books.toscrape.com/catalogue/page-1.htmlour-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
Olio,Â£23.88,http://books.toscrape.com/catalogue/page-1.htmlolio_984/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,Â£37.59,http://books.toscrape.com/catalogue/page-1.htmlmesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Libertarianism for Beginners,Â£51.33,http://books.toscrape.com/catalogue/page-1.htmllibertarianism-for-beginners_982/index.html
It's Only the Himalayas,Â£45.17,http://books.toscrape.com/catalogue/page-1.htmlits-only-the-himalayas_981/index.html
In Her Wake,Â£12.84,http://books.toscrape.com/catalogue/page-2.htmlin-her-wake_980/index.html
How Music Works,Â£37.32,http://books.toscrape.com/catalogue/page-2.htmlhow-music-works_979/index.html
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Â£30.52,http://books.toscrape.com/catalogue/page-2.htmlfoolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
Chase Me (Paris Nights #2),Â£25.27,http://books.toscrape.com/catalogue/page-2.htmlchase-me-paris-nights-2_977/index.html
Black Dust,Â£34.53,http://books.toscrape.com/catalogue/page-2.htmlblack-dust_976/index.html
Birdsong: A Story in Pictures,Â£54.64,http://books.toscrape.com/catalogue/page-2.htmlbirdsong-a-story-in-pictures_975/index.html
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Â£22.50,http://books.toscrape.com/catalogue/page-2.htmlamericas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
Aladdin and His Wonderful Lamp,Â£53.13,http://books.toscrape.com/catalogue/page-2.htmlaladdin-and-his-wonderful-lamp_973/index.html
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Â£40.30,http://books.toscrape.com/catalogue/page-2.htmlworlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
Wall and Piece,Â£44.18,http://books.toscrape.com/catalogue/page-2.htmlwall-and-piece_971/index.html
The Four Agreements: A Practical Guide to Personal Freedom,Â£17.66,http://books.toscrape.com/catalogue/page-2.htmlthe-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Â£31.05,http://books.toscrape.com/catalogue/page-2.htmlthe-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
The Elephant Tree,Â£23.82,http://books.toscrape.com/catalogue/page-2.htmlthe-elephant-tree_968/index.html
The Bear and the Piano,Â£36.89,http://books.toscrape.com/catalogue/page-2.htmlthe-bear-and-the-piano_967/index.html
Sophie's World,Â£15.94,http://books.toscrape.com/catalogue/page-2.htmlsophies-world_966/index.html
Penny Maybe,Â£33.29,http://books.toscrape.com/catalogue/page-2.htmlpenny-maybe_965/index.html
Maude (1883-1993):She Grew Up with the country,Â£18.02,http://books.toscrape.com/catalogue/page-2.htmlmaude-1883-1993she-grew-up-with-the-country_964/index.html
"In a Dark, Dark Wood",Â£19.63,http://books.toscrape.com/catalogue/page-2.htmlin-a-dark-dark-wood_963/index.html
Behind Closed Doors,Â£52.22,http://books.toscrape.com/catalogue/page-2.htmlbehind-closed-doors_962/index.html
You can't bury them all: Poems,Â£33.63,http://books.toscrape.com/catalogue/page-2.htmlyou-cant-bury-them-all-poems_961/index.html
Slow States of Collapse: Poems,Â£57.31,http://books.toscrape.com/catalogue/page-3.htmlslow-states-of-collapse-poems_960/index.html
Reasons to Stay Alive,Â£26.41,http://books.toscrape.com/catalogue/page-3.htmlreasons-to-stay-alive_959/index.html
Private Paris (Private #10),Â£47.61,http://books.toscrape.com/catalogue/page-3.htmlprivate-paris-private-10_958/index.html
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Â£23.11,http://books.toscrape.com/catalogue/page-3.htmlhigherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
